player_id,first_name,last_name,birthdate,height,weight,bats,primary_position,other_positions,is_pitcher,role,ch,ph,sp,gf,pl,vl,sc,fa,arm,endurance,control,movement,hold_runner,fb,cu,cb,sl,si,scb,kn,pot_ch,pot_ph,pot_sp,pot_gf,pot_pl,pot_vl,pot_sc,pot_fa,pot_arm,pot_control,pot_movement,pot_endurance,pot_hold_runner,pot_fb,pot_cu,pot_cb,pot_sl,pot_si,pot_scb,pot_kn,injured,injury_description,return_date
P6890,Ralph,Cole,1996-09-05,78,209,L,LF,,0,,53,10,73,45,66,98,62,98,36,,,,,,,,,,,,51,10,75,45,66,98,62,97,39,,,,,,,,,,,,False,,
P9200,Glen,Bryant,2001-09-09,73,194,R,C,,0,,72,55,63,94,88,32,31,60,53,,,,,,,,,,,,83,65,75,94,88,32,31,68,58,,,,,,,,,,,,False,,
P9766,Darryl,Greene,1991-03-27,73,232,R,2B,,0,,36,60,29,48,50,67,42,77,56,,,,,,,,,,,,31,58,23,48,50,67,42,74,55,,,,,,,,,,,,False,,
P9813,Scott,Ellis,1990-06-02,68,215,S,3B,,0,,93,24,92,24,47,49,75,19,83,,,,,,,,,,,,84,20,87,24,47,49,75,15,78,,,,,,,,,,,,False,,
P8511,Herman,Crawford,1987-09-17,76,185,R,P,,1,,,,,0,,,,,,59,46,21,13,83,0,0,50,0,0,0,,,,0,,,,98,46,41,20,57,10,78,0,0,50,0,0,0,False,,
P5206,Ernest,Nichols,1988-10-06,76,201,S,P,,1,,,,,0,,,,,,57,27,81,33,14,0,98,92,86,0,0,,,,0,,,,76,92,26,73,51,29,13,0,97,89,84,0,0,False,,
P3442,Ron,Kennedy,2004-03-02,68,163,L,P,,1,,,,,0,,,,,,45,33,22,75,47,55,0,44,35,0,0,,,,0,,,,81,56,50,40,55,90,61,78,0,71,47,0,0,False,,
P4299,Pedro,Gutierrez,2002-07-22,73,173,L,P,,1,,,,,0,,,,,,82,55,23,37,79,0,66,0,72,0,0,,,,0,,,,93,99,63,32,92,49,84,0,77,0,79,0,0,False,,
P2844,Arthur,Henry,1993-07-02,71,165,R,P,,1,,,,,0,,,,,,15,32,85,63,22,15,96,74,90,0,0,,,,0,,,,99,64,25,85,13,60,18,10,90,74,88,0,0,False,,
P5211,Fernando,Simmons,1998-08-18,78,189,S,P,,1,,,,,0,,,,,,54,31,27,44,88,73,0,62,0,0,34,,,,0,,,,34,41,42,33,62,54,99,79,0,70,0,0,45,False,,
P3072,Johnnie,Barnes,1987-03-28,68,175,L,P,,1,,,,,0,,,,,,70,21,20,93,35,0,76,48,99,0,0,,,,0,,,,22,83,13,10,67,89,28,0,69,39,95,0,0,False,,
P2715,Nelson,Reyes,2000-08-21,76,207,L,LF,,0,,22,51,12,63,14,83,70,18,90,,,,,,,,,,,,36,61,18,63,14,83,70,33,96,,,,,,,,,,,,False,,
P5753,Barry,Morgan,1999-12-14,74,214,R,C,,0,,32,49,34,31,44,61,19,26,75,,,,,,,,,,,,38,55,39,31,44,61,19,41,83,,,,,,,,,,,,False,,
P3572,Willard,Gardner,1999-01-30,74,171,S,1B,,0,,33,81,43,59,58,44,85,82,33,,,,,,,,,,,,40,94,49,59,58,44,85,92,46,,,,,,,,,,,,False,,
P2194,Steven,Long,1991-07-31,77,189,R,SS,,0,,73,14,40,79,52,95,17,20,19,,,,,,,,,,,,71,14,33,79,52,95,17,16,12,,,,,,,,,,,,False,,
P2181,Jorge,Robinson,1994-09-05,76,171,R,C,,0,,97,29,61,61,31,68,23,55,89,,,,,,,,,,,,97,28,61,61,31,68,23,51,93,,,,,,,,,,,,False,,
P6917,Randy,Stephens,1999-12-01,73,248,S,LF,,0,,43,64,14,30,13,49,99,11,16,,,,,,,,,,,,54,73,23,30,13,49,99,24,25,,,,,,,,,,,,False,,
P2000,Andrew,Tucker,1993-12-16,70,240,L,LF,RF,0,,19,60,81,90,81,22,93,82,23,,,,,,,,,,,,18,58,81,90,81,22,93,85,26,,,,,,,,,,,,False,,
P7980,Micheal,Vasquez,1997-01-30,69,242,L,CF,,0,,17,62,45,70,95,96,88,89,13,,,,,,,,,,,,21,61,44,70,95,96,88,93,17,,,,,,,,,,,,False,,
P1197,Sam,Adams,2007-06-24,69,215,L,P,,1,,,,,0,,,,,,17,76,79,36,12,75,0,88,0,0,0,,,,0,,,,99,53,89,99,40,65,22,99,0,99,0,0,0,False,,
P9761,Samuel,Rice,2007-05-03,74,169,L,P,,1,,,,,0,,,,,,48,38,74,90,91,29,84,44,0,0,0,,,,0,,,,83,99,50,99,62,99,99,52,99,68,0,0,0,False,,
P5957,Miguel,Hunter,2005-01-17,72,179,S,P,,1,,,,,0,,,,,,67,30,96,14,54,0,0,0,85,0,0,,,,0,,,,99,99,40,99,79,37,73,0,0,0,99,0,0,False,,
P1015,Tommy,Riley,2006-03-20,78,209,R,P,,1,,,,,0,,,,,,30,20,53,42,87,41,0,34,0,0,0,,,,0,,,,66,52,47,78,59,61,99,58,0,47,0,0,0,False,,
P7325,Derek,Martinez,2005-07-28,74,209,L,P,,1,,,,,0,,,,,,50,79,56,47,16,0,83,0,0,0,0,,,,0,,,,33,25,99,69,63,59,33,0,99,0,0,0,0,False,,
P6506,Raymond,Jones,2006-02-07,74,174,S,2B,,0,,59,11,44,47,69,22,14,86,84,,,,,,,,,,,,85,26,54,47,69,22,14,99,98,,,,,,,,,,,,False,,
P5532,Frank,Stevens,2005-08-26,71,186,R,LF,,0,,44,10,20,46,52,65,71,13,74,,,,,,,,,,,,58,34,30,46,52,65,71,41,99,,,,,,,,,,,,False,,
P9350,Roger,Hicks,2005-01-31,76,232,R,SS,,0,,20,17,36,38,99,62,99,14,17,,,,,,,,,,,,43,27,49,38,99,62,99,34,46,,,,,,,,,,,,False,,
P7738,Jimmie,Oliver,2007-03-09,76,196,R,3B,,0,,18,55,73,10,47,11,61,55,29,,,,,,,,,,,,41,84,87,10,47,11,61,84,49,,,,,,,,,,,,False,,
P9530,Ronald,Cunningham,2006-06-03,76,188,L,3B,,0,,42,44,95,18,99,87,77,62,71,,,,,,,,,,,,56,59,99,18,99,87,77,88,99,,,,,,,,,,,,False,,
P8735,Phillip,Thompson,1988-02-24,78,198,R,P,,1,,,,,0,,,,,,49,12,68,71,61,86,94,59,10,0,0,,,,0,,,,10,19,10,63,43,65,53,79,86,50,10,0,0,False,,
P5749,Alexander,Knight,2002-07-27,75,175,R,P,,1,,,,,0,,,,,,79,11,75,57,98,0,54,0,0,0,0,,,,0,,,,85,99,20,88,94,63,99,0,65,0,0,0,0,False,,
P1410,Roger,Griffin,1995-03-11,70,211,R,P,,1,,,,,0,,,,,,29,15,63,76,79,11,0,55,39,0,0,,,,0,,,,85,99,16,61,24,73,74,10,0,59,37,0,0,False,,
P6119,Leon,Reyes,2000-03-16,71,170,R,P,,1,,,,,0,,,,,,51,57,92,69,66,77,0,0,0,0,0,,,,0,,,,28,31,70,99,62,80,75,90,0,0,0,0,0,False,,
P5449,Francisco,Miller,1992-01-11,70,205,R,P,,1,,,,,0,,,,,,42,21,37,69,96,0,0,16,0,0,0,,,,0,,,,59,47,19,31,37,59,86,0,0,15,0,0,0,False,,
P6308,Cecil,Fisher,1987-04-27,72,215,L,P,,1,,,,,0,,,,,,37,32,46,13,21,0,0,81,32,0,0,,,,0,,,,23,23,32,42,34,12,21,0,0,79,23,0,0,False,,
P5509,Lewis,Ramos,1997-12-14,76,217,L,P,,1,,,,,0,,,,,,73,93,22,39,46,15,74,92,32,0,0,,,,0,,,,85,89,99,29,79,50,58,26,87,99,39,0,0,False,,
P2071,Joe,Greene,1994-08-18,71,231,L,P,,1,,,,,0,,,,,,30,32,53,67,65,79,0,0,12,0,0,,,,0,,,,41,33,27,52,28,66,65,81,0,0,10,0,0,False,,
P5298,Edwin,Watson,1996-08-07,78,183,R,P,,1,,,,,0,,,,,,93,38,28,30,56,87,20,20,75,0,0,,,,0,,,,15,83,36,31,96,34,59,92,21,17,75,0,0,False,,
P2162,Frank,Ramirez,1994-10-18,68,246,S,P,,1,,,,,0,,,,,,54,56,19,98,59,91,0,28,96,0,0,,,,0,,,,10,99,54,23,54,98,64,90,0,33,96,0,0,False,,
P9341,Walter,Wood,1999-01-07,78,224,R,P,,1,,,,,0,,,,,,49,97,35,14,78,65,32,11,69,0,0,,,,0,,,,66,66,99,45,58,21,83,71,46,22,82,0,0,False,,
P3439,Claude,Anderson,1987-11-28,71,170,R,C,,0,,23,56,49,98,93,36,36,71,79,,,,,,,,,,,,18,50,49,98,93,36,36,67,71,,,,,,,,,,,,False,,
P8824,Johnny,Gray,1995-07-27,70,175,L,1B,,0,,45,75,40,62,37,40,38,11,24,,,,,,,,,,,,45,71,40,62,37,40,38,10,20,,,,,,,,,,,,False,,
P1737,Luis,Mills,1993-12-04,72,209,R,2B,,0,,92,97,71,53,98,46,10,61,89,,,,,,,,,,,,88,98,73,53,98,46,10,62,94,,,,,,,,,,,,False,,
P5913,Ted,Hudson,1991-12-17,68,236,S,3B,,0,,38,66,33,99,21,87,71,71,53,,,,,,,,,,,,29,62,33,99,21,87,71,66,45,,,,,,,,,,,,False,,
P5072,Terry,Woods,1992-01-22,78,182,L,SS,,0,,27,37,14,35,53,77,61,52,64,,,,,,,,,,,,24,32,12,35,53,77,61,42,54,,,,,,,,,,,,False,,
P1717,Harold,Hayes,1988-10-27,74,229,R,LF,,0,,29,10,80,51,25,79,93,11,52,,,,,,,,,,,,22,10,73,51,25,79,93,10,50,,,,,,,,,,,,False,,
P2906,Reginald,Thomas,2004-07-05,69,186,R,CF,,0,,80,20,53,73,35,34,35,50,68,,,,,,,,,,,,99,45,65,73,35,34,35,62,89,,,,,,,,,,,,False,,
P8553,Jeff,Reynolds,1987-07-24,71,181,L,RF,,0,,72,57,53,78,73,24,56,75,60,,,,,,,,,,,,64,52,53,78,73,24,56,71,54,,,,,,,,,,,,False,,
P7235,Lester,Harper,1989-07-18,70,226,L,3B,,0,,38,84,16,25,50,79,82,84,17,,,,,,,,,,,,31,83,10,25,50,79,82,78,16,,,,,,,,,,,,False,,
P9680,Jim,Franklin,1990-03-06,71,195,L,1B,,0,,81,27,53,47,58,44,94,80,17,,,,,,,,,,,,80,18,49,47,58,44,94,75,16,,,,,,,,,,,,False,,
P3727,Calvin,Washington,2001-02-14,77,200,L,LF,,0,,90,32,64,78,35,17,33,54,56,,,,,,,,,,,,99,42,79,78,35,17,33,63,68,,,,,,,,,,,,False,,
P7399,Russell,Gibson,1991-04-21,78,201,R,2B,,0,,39,26,26,11,23,61,79,54,26,,,,,,,,,,,,38,16,22,11,23,61,79,54,22,,,,,,,,,,,,False,,
P7074,Joshua,Spencer,1988-07-13,72,209,R,C,,0,,65,99,61,38,90,64,24,46,29,,,,,,,,,,,,56,96,61,38,90,64,24,39,22,,,,,,,,,,,,False,,
P5900,Samuel,Kennedy,1988-08-16,75,197,S,2B,,0,,72,59,20,94,84,65,28,94,81,,,,,,,,,,,,66,50,16,94,84,65,28,89,73,,,,,,,,,,,,False,,
P1030,Ronnie,Sullivan,2000-04-09,76,230,R,P,,1,,,,,0,,,,,,79,59,11,38,92,89,0,78,64,0,0,,,,0,,,,37,32,66,21,89,49,99,99,0,91,71,0,0,False,,
P1831,Jessie,Hart,2002-12-06,76,247,R,P,,1,,,,,0,,,,,,43,16,20,18,62,0,15,0,39,0,0,,,,0,,,,69,90,30,32,53,24,68,0,24,0,44,0,0,False,,
P8275,Cody,Greene,1995-04-16,68,217,L,P,,1,,,,,0,,,,,,31,50,24,30,10,60,53,74,96,0,0,,,,0,,,,85,92,51,27,36,32,11,62,54,73,91,0,0,False,,
P5908,Tyrone,Martinez,1989-11-05,75,163,R,P,,1,,,,,0,,,,,,23,44,44,17,75,83,38,28,17,0,0,,,,0,,,,63,23,38,39,17,11,65,76,30,19,15,0,0,False,,
P6250,Gary,Armstrong,1991-02-27,73,233,R,P,,1,,,,,0,,,,,,34,33,26,51,39,36,0,0,0,0,0,,,,0,,,,19,25,31,23,28,50,31,34,0,0,0,0,0,False,,
P4236,Willard,West,1994-09-19,70,182,L,P,,1,,,,,0,,,,,,90,14,82,56,51,0,0,22,0,0,0,,,,0,,,,21,69,13,81,88,53,52,0,0,23,0,0,0,False,,
P1024,Bobby,Green,1996-03-01,76,166,R,P,,1,,,,,0,,,,,,12,41,43,83,97,49,30,16,58,0,0,,,,0,,,,25,29,41,41,15,78,99,52,27,13,63,0,0,False,,
P6969,Jerry,Dunn,2004-05-31,77,238,S,SS,,0,,79,56,26,58,13,34,66,10,75,,,,,,,,,,,,94,77,37,58,13,34,66,22,99,,,,,,,,,,,,False,,
P9761,Reginald,Cole,1996-08-31,78,187,R,SS,,0,,56,98,98,60,66,24,68,28,93,,,,,,,,,,,,52,99,94,60,66,24,68,29,91,,,,,,,,,,,,False,,
P9008,Sidney,Vasquez,2001-07-01,74,195,R,RF,,0,,24,34,43,42,95,38,72,98,11,,,,,,,,,,,,37,44,54,42,95,38,72,99,24,,,,,,,,,,,,False,,
P4175,Ken,Snyder,1995-06-22,73,160,L,SS,,0,,62,27,88,65,87,66,56,93,37,,,,,,,,,,,,57,27,93,65,87,66,56,91,33,,,,,,,,,,,,False,,
P2417,Justin,Peterson,1999-02-08,77,202,L,CF,,0,,92,80,14,67,37,13,63,22,80,,,,,,,,,,,,99,89,19,67,37,13,63,29,88,,,,,,,,,,,,False,,
