arm,bats,birthdate,cb,ch,control,cu,delivery,endurance,fa,fb,first_name,gf,height,hold_runner,injured,injury_description,is_pitcher,kn,last_name,movement,other_positions,ph,pl,player_id,pot_arm,pot_cb,pot_ch,pot_control,pot_cu,pot_endurance,pot_fa,pot_fb,pot_gf,pot_hold_runner,pot_kn,pot_movement,pot_ph,pot_sc,pot_si,pot_sl,pot_sp,primary_position,return_date,role,sc,si,sl,sp,throws,vl,weight
45,R,2005-06-29,0,24,0,0,0,0,47,0,John,83,76,0,0,0,False,0,Doe,0,[],91,68,P3800,75,0,35,0,0,0,69,0,83,0,0,0,99,53,0,0,99,3B,0,0,53,0,0,80,R,45,195
22,R,2004-05-15,0,65,0,0,0,0,82,0,John,52,76,0,0,0,False,0,Doe,0,[],45,65,P9794,43,0,79,0,0,0,99,0,52,0,0,0,58,72,0,0,47,SS,0,0,72,0,0,36,R,61,189
77,S,2007-08-25,0,18,0,0,0,0,26,0,John,39,77,0,0,0,False,0,Doe,0,[],31,68,P6405,97,0,45,0,0,0,48,0,39,0,0,0,41,88,0,0,33,LF,0,0,88,0,0,13,R,92,225
84,R,2003-11-01,0,65,0,0,0,0,14,0,John,41,76,0,0,0,False,0,Doe,0,[],17,10,P4380,95,0,75,0,0,0,29,0,41,0,0,0,44,44,0,0,99,LF,0,0,44,0,0,91,R,92,184
97,L,2004-05-17,0,56,0,0,0,0,93,0,John,83,76,0,0,0,False,0,Doe,0,[],39,17,P2790,99,0,68,0,0,0,99,0,83,0,0,0,58,23,0,0,56,CF,0,0,23,0,0,44,L,57,183
71,R,2003-10-21,0,30,0,0,0,0,58,0,John,81,75,0,0,0,False,0,Doe,0,[],23,83,P9864,91,0,43,0,0,0,81,0,81,0,0,0,50,56,0,0,88,RF,0,0,56,0,0,77,R,33,179
86,L,2004-06-06,17,0,17,83,overhand,57,70,44,John,0,75,81,0,0,True,0,Doe,58,[],0,0,P3381,99,28,0,39,99,81,95,71,0,99,0,79,0,0,0,0,0,P,0,RP,0,0,0,0,L,0,242
31,S,2008-06-17,0,73,0,0,0,0,74,0,John,29,77,0,0,0,False,0,Doe,0,[],60,61,P9462,59,0,83,0,0,0,84,0,29,0,0,0,80,69,0,0,74,LF,0,0,69,0,0,64,R,28,163
67,L,2004-01-07,62,0,57,93,overhand,80,87,78,John,0,74,96,0,0,True,0,Doe,41,[],0,0,P7705,97,91,0,78,99,94,97,98,0,99,0,66,0,0,0,43,0,P,0,RP,0,0,28,0,L,0,241
17,L,2004-04-29,0,62,0,0,0,0,72,0,John,70,69,0,0,0,False,0,Doe,0,[],56,65,P8536,34,0,75,0,0,0,98,0,70,0,0,0,77,94,0,0,84,1B,0,0,94,0,0,69,R,18,189
33,L,2004-06-28,0,60,0,0,0,0,19,0,John,34,69,0,0,0,False,0,Doe,0,[],92,75,P4809,57,0,70,0,0,0,37,0,34,0,0,0,99,45,0,0,99,RF,0,0,45,0,0,90,L,78,180
57,L,2005-11-25,20,0,16,72,overhand,47,98,37,John,0,73,93,0,0,True,0,Doe,59,[],0,0,P1093,84,48,0,32,85,63,99,59,0,99,0,79,0,0,91,39,0,P,0,SP,0,66,12,0,R,0,183
78,L,2004-04-26,0,30,0,0,0,0,43,0,John,75,73,0,0,0,False,0,Doe,0,[],86,46,P6068,93,0,46,0,0,0,60,0,75,0,0,0,99,37,0,0,99,C,0,0,37,0,0,80,R,93,160
59,R,2008-01-08,0,0,16,58,overhand,53,38,78,John,0,75,68,0,0,True,0,Doe,21,[],0,0,P5649,70,0,0,26,84,83,60,88,0,78,0,43,0,0,0,0,0,P,0,RP,0,0,0,0,R,0,206
50,R,2004-12-19,0,39,0,0,0,0,34,0,John,73,68,0,0,0,False,0,Doe,0,[],97,47,P6417,72,0,64,0,0,0,50,0,73,0,0,0,99,74,0,0,81,C,0,0,74,0,0,54,R,16,223
96,L,2004-07-30,0,75,0,0,0,0,49,0,John,31,77,0,0,0,False,0,Doe,0,[],54,33,P2178,99,0,99,0,0,0,71,0,31,0,0,0,73,51,0,0,87,2B,0,0,51,0,0,76,R,86,219
75,R,2003-11-20,0,26,0,0,0,0,29,0,John,80,74,0,0,0,False,0,Doe,0,[],93,55,P9537,99,0,39,0,0,0,45,0,80,0,0,0,99,34,0,0,51,1B,0,0,34,0,0,26,R,34,208
53,R,2004-09-07,0,63,0,0,0,0,37,0,John,51,71,0,0,0,False,0,Doe,0,[],52,59,P5894,75,0,80,0,0,0,63,0,51,0,0,0,68,53,0,0,72,LF,0,0,53,0,0,47,R,27,163
45,L,2006-07-05,0,0,80,0,overhand,32,59,38,John,0,70,54,0,0,True,0,Doe,69,[],0,0,P3055,62,0,0,99,0,50,72,48,0,70,0,86,0,0,36,0,0,P,0,SP,0,12,0,0,L,0,249
75,R,2005-02-07,0,35,0,0,0,0,23,0,John,60,75,0,0,0,False,0,Doe,0,[],89,97,P8515,85,0,56,0,0,0,36,0,60,0,0,0,99,35,0,0,99,RF,0,0,35,0,0,75,R,61,242
62,R,2008-01-14,68,0,71,86,overhand,64,77,82,John,0,71,32,0,0,True,0,Doe,89,[],0,0,P1834,76,80,0,82,99,80,99,99,0,58,0,99,0,0,0,0,0,P,0,SP,0,0,0,0,R,0,226
11,R,2006-02-04,0,75,0,0,0,0,73,0,John,82,71,0,0,0,False,0,Doe,0,[],97,52,P5151,30,0,94,0,0,0,86,0,82,0,0,0,99,17,0,0,42,1B,0,0,17,0,0,14,R,87,210
43,R,2007-06-20,72,0,40,58,overhand,60,79,90,John,0,71,19,0,0,True,0,Doe,91,[],0,0,P9965,65,89,0,62,79,86,99,99,0,29,0,99,0,0,51,63,0,P,0,SP,0,30,35,0,R,0,232
72,L,2004-02-15,45,0,62,0,overhand,62,43,26,John,0,73,51,0,0,True,0,Doe,15,[],0,0,P9991,99,68,0,82,0,85,68,54,0,75,0,33,0,0,0,0,0,P,0,RP,0,0,0,0,L,0,190
53,R,2006-09-29,45,0,15,64,overhand,83,76,40,John,0,69,58,0,0,True,0,Doe,26,[],0,0,P3024,70,72,0,35,75,99,86,63,0,72,0,36,0,0,63,53,0,P,0,RP,0,53,26,0,R,0,192
47,L,2004-03-20,20,0,36,0,overhand,95,14,83,John,0,75,94,0,0,True,0,Doe,42,[],0,0,P9981,74,47,0,49,0,99,43,98,0,99,0,59,0,0,0,0,0,P,0,SP,0,0,0,0,L,0,216
27,R,2005-12-22,0,42,0,0,0,0,51,0,John,14,70,0,0,0,False,0,Doe,0,[],99,22,P6971,44,0,57,0,0,0,74,0,14,0,0,0,99,41,0,0,52,RF,0,0,41,0,0,30,R,59,234
36,L,2004-05-13,0,55,0,0,0,0,93,0,John,79,70,0,0,0,False,0,Doe,0,[],51,60,P6493,63,0,75,0,0,0,99,0,79,0,0,0,69,73,0,0,74,LF,0,0,73,0,0,46,L,67,169
18,L,2005-09-01,27,0,31,26,overhand,99,81,45,John,0,72,24,0,0,True,0,Doe,98,[],0,0,P7287,47,54,0,59,53,99,99,59,0,47,0,99,0,0,81,92,0,P,0,SP,0,66,65,0,R,0,191
90,L,2006-07-04,0,99,0,0,0,0,40,0,John,62,77,0,0,0,False,0,Doe,0,[],51,93,P6965,99,0,99,0,0,0,68,0,62,0,0,0,70,35,0,0,87,1B,0,0,35,0,0,61,R,18,207
35,L,2008-07-03,0,98,0,0,0,0,11,0,John,24,76,0,0,0,False,0,Doe,0,[],29,56,P3986,55,0,99,0,0,0,30,0,24,0,0,0,50,53,0,0,29,LF,0,0,53,0,0,13,R,51,250
71,L,2003-08-22,0,0,54,17,overhand,19,41,65,John,0,74,79,0,0,True,0,Doe,58,[],0,0,P3178,84,0,0,83,47,49,58,94,0,90,0,73,0,0,0,29,0,P,0,RP,0,0,17,0,L,0,162
56,L,2003-10-10,24,0,17,59,overhand,32,73,49,John,0,77,72,0,0,True,0,Doe,87,[],0,0,P2161,68,42,0,29,78,52,86,68,0,99,0,99,0,99,41,0,0,P,0,SP,81,21,0,0,L,0,242
49,L,2005-08-11,0,0,39,90,overhand,71,12,40,John,0,68,28,0,0,True,0,Doe,18,[],0,0,P4835,62,0,0,63,99,99,34,69,0,49,0,30,0,0,0,99,0,P,0,RP,0,0,89,0,L,0,215
98,R,2008-03-28,86,0,75,52,overhand,15,53,46,John,0,76,21,0,0,True,0,Doe,16,[],0,0,P1315,99,99,0,91,65,34,81,65,0,49,0,41,0,0,0,0,0,P,0,RP,0,0,0,0,L,0,224
93,R,2005-11-28,0,0,26,38,overhand,26,34,18,John,0,77,78,0,0,True,0,Doe,79,[],0,0,P8887,99,0,0,44,50,46,48,30,0,89,0,99,0,0,0,0,0,P,0,SP,0,0,0,0,R,0,250
53,R,2007-05-28,48,0,75,0,overhand,79,89,79,John,0,78,21,0,0,True,0,Doe,42,[],0,0,P7504,69,62,0,86,0,96,99,90,0,51,0,54,0,0,88,46,0,P,0,SP,0,64,32,0,R,0,185
14,R,2004-02-20,0,0,47,56,overhand,80,98,23,John,0,77,47,0,0,True,0,Doe,80,[],0,0,P7219,32,0,0,58,71,91,99,44,0,77,0,90,0,0,61,0,0,P,0,RP,0,38,0,0,R,0,200
36,S,2004-01-05,0,18,0,0,0,0,14,0,John,62,73,0,0,0,False,0,Doe,0,[],74,25,P5930,60,0,32,0,0,0,25,0,62,0,0,0,90,57,0,0,65,C,0,0,57,0,0,53,R,16,170
21,L,2008-06-29,0,49,0,0,0,0,62,0,John,73,78,0,0,0,False,0,Doe,0,[],22,49,P1373,39,0,62,0,0,0,80,0,73,0,0,0,49,62,0,0,40,1B,0,0,62,0,0,24,R,75,226
98,L,2004-12-13,45,0,90,0,overhand,46,72,46,John,0,73,94,0,0,True,0,Doe,73,[],0,0,P8270,99,69,0,99,0,64,83,64,0,99,0,99,0,0,0,0,0,P,0,RP,0,0,0,0,L,0,196
96,R,2004-04-14,0,93,0,0,0,0,84,0,John,77,74,0,0,0,False,0,Doe,0,[],83,33,P3632,99,0,99,0,0,0,99,0,77,0,0,0,99,10,0,0,39,1B,0,0,10,0,0,18,R,14,169
84,L,2006-01-08,0,95,0,0,0,0,44,0,John,83,75,0,0,0,False,0,Doe,0,[],43,24,P6355,96,0,99,0,0,0,72,0,83,0,0,0,63,54,0,0,99,3B,0,0,54,0,0,91,R,65,160
86,S,2006-05-03,0,91,0,0,0,0,95,0,John,48,71,0,0,0,False,0,Doe,0,[],68,62,P8371,99,0,99,0,0,0,99,0,48,0,0,0,91,16,0,0,49,LF,0,0,16,0,0,27,R,85,196
13,R,2004-08-26,29,0,64,0,overhand,85,76,97,John,0,75,71,0,0,True,12,Doe,70,[],0,0,P5315,26,42,0,87,0,99,88,99,0,88,35,94,0,0,0,72,0,P,0,SP,0,0,47,0,R,0,248
91,R,2007-05-03,71,0,33,0,overhand,44,25,35,John,0,71,66,0,0,True,0,Doe,64,[],0,0,P5216,99,84,0,47,0,69,42,49,0,92,0,81,0,0,0,67,0,P,0,RP,0,0,53,0,R,0,199
32,R,2004-08-27,0,96,0,0,0,0,77,0,John,98,68,0,0,0,False,0,Doe,0,[],46,10,P5368,56,0,99,0,0,0,95,0,98,0,0,0,61,26,0,0,62,SS,0,0,26,0,0,42,R,83,204
73,R,2006-06-28,44,0,69,52,overhand,21,27,84,John,0,71,31,0,0,True,0,Doe,39,[],0,0,P5597,91,56,0,99,71,44,54,99,0,53,0,51,0,0,99,55,0,P,0,RP,0,96,29,0,R,0,190
24,R,2005-01-14,0,68,0,0,0,0,98,0,John,97,77,0,0,0,False,0,Doe,0,['1B'],56,84,P9588,42,0,89,0,0,0,99,0,97,0,0,0,84,53,0,0,61,LF,0,0,53,0,0,38,R,71,192
37,R,2008-02-09,0,0,67,29,overhand,19,65,31,John,0,72,57,0,0,True,0,Doe,55,[],0,0,P5876,57,0,0,81,43,40,89,58,0,74,0,76,0,0,33,0,0,P,0,SP,0,10,0,0,R,0,179
39,R,2005-08-23,89,0,59,91,overhand,78,12,61,John,0,74,33,0,0,True,0,Doe,60,[],0,0,P8112,66,99,0,79,99,96,23,78,0,51,0,88,0,0,99,87,0,P,0,SP,0,81,65,0,R,0,233
84,R,2004-02-17,95,0,40,0,overhand,33,38,28,John,0,70,85,0,0,True,0,Doe,77,[],0,0,P9015,96,99,0,66,0,52,63,51,0,96,0,99,0,0,0,0,0,P,0,SP,0,0,0,0,R,0,239
82,R,2007-09-11,25,0,60,69,overhand,72,43,88,John,0,77,79,0,0,True,0,Doe,39,[],0,0,P8313,99,52,0,78,85,98,59,99,0,95,0,63,0,0,0,54,0,P,0,RP,0,0,35,0,R,0,205
42,S,2006-11-09,0,0,87,35,overhand,52,67,73,John,0,73,68,0,0,True,99,Doe,43,[],0,0,P5580,57,0,0,99,56,73,93,84,0,86,99,63,0,0,77,55,0,P,0,RP,0,49,25,0,R,0,229
73,R,2005-10-01,81,0,90,75,sidearm,27,61,58,John,0,73,88,0,0,True,0,Doe,83,[],0,0,P4508,83,99,0,99,88,43,89,69,0,99,0,99,0,0,99,50,0,P,0,RP,0,96,21,0,R,0,187
20,R,2007-09-07,0,77,0,0,0,0,30,0,John,50,68,0,0,0,False,0,Doe,0,[],64,64,P3351,37,0,97,0,0,0,48,0,50,0,0,0,88,48,0,0,34,C,0,0,48,0,0,24,R,59,217
32,S,2006-05-29,0,0,72,0,overhand,50,97,66,John,0,75,22,0,0,True,0,Doe,56,[],0,0,P2590,57,0,0,82,0,68,99,79,0,40,0,77,0,0,0,88,0,P,0,SP,0,0,69,0,R,0,223
91,R,2006-09-16,0,77,0,0,0,0,43,0,John,58,74,0,0,0,False,0,Doe,0,[],49,39,P1486,99,0,99,0,0,0,72,0,58,0,0,0,79,86,0,0,76,2B,0,0,86,0,0,63,R,64,172
15,R,2004-02-20,0,18,0,0,0,0,32,0,John,90,69,0,0,0,False,0,Doe,0,[],57,27,P8600,27,0,35,0,0,0,45,0,90,0,0,0,69,19,0,0,66,2B,0,0,19,0,0,48,R,64,187
36,L,2005-07-09,98,0,85,0,overhand,30,39,32,John,0,78,93,0,0,True,0,Doe,86,[],0,0,P8414,59,99,0,99,0,41,68,47,0,99,0,97,0,0,99,23,0,P,0,SP,0,79,12,0,L,0,238
66,R,2004-02-09,66,0,26,0,overhand,66,64,36,John,0,73,65,0,0,True,0,Doe,81,[],0,0,P8647,80,84,0,56,0,90,92,49,0,89,0,99,0,0,0,0,0,P,0,RP,0,0,0,0,R,0,215
47,L,2007-10-25,0,48,0,0,0,0,70,0,John,21,73,0,0,0,False,0,Doe,0,[],14,64,P8166,68,0,66,0,0,0,86,0,21,0,0,0,30,67,0,0,99,1B,0,0,67,0,0,96,L,99,247
29,R,2003-10-06,67,0,90,0,overhand,35,22,50,John,0,77,48,0,0,True,0,Doe,95,[],0,0,P3422,48,82,0,99,0,54,41,71,0,78,0,99,0,0,99,97,0,P,0,RP,0,89,83,0,R,0,236
72,L,2008-02-21,0,0,32,0,overhand,35,18,21,John,0,73,35,0,0,True,0,Doe,61,[],0,0,P2097,97,0,0,54,0,55,42,43,0,56,0,76,0,0,59,0,0,P,0,RP,0,37,0,0,L,0,189
86,L,2004-06-20,79,0,75,68,overhand,59,47,40,John,0,70,19,0,0,True,0,Doe,16,[],0,0,P9786,99,99,0,99,83,83,68,50,0,34,0,42,0,0,64,99,0,P,0,SP,0,53,78,0,L,0,206
